chunk_size,replicat,config,filename,decompress_bandwidth_GBps,global_cr,wallclock_ms,compress_ms,compress_bandwidth_GBps,wallclock_bandwidth_GBps
1,1,share/blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19194,22388.0,1271.0,5.72881,0.325233
1,1,share/blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19377,8390.0,6822.0,1.06733,0.867856
1,1,share/blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.16088,1890.0,299.0,24.3522,3.85255
1,1,share/bzip2-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08265,5463.0,3867.0,1.88294,1.33284
1,1,share/bzip2-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08233,5817.0,4225.0,1.72339,1.25173
1,1,share/mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,11.7867,7716.0,6119.0,1.18995,0.943664
1,1,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.79823,1924.0,335.0,21.7353,3.78447
1,1,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.82409,3442.0,1765.0,4.12539,2.11543
1,1,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.7158,1681.0,101.0,72.0922,4.33154
1,1,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.28216,2631.0,1038.0,7.01475,2.76751
1,1,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.29903,2709.0,1109.0,6.56566,2.68782
1,1,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.44763,1803.0,200.0,36.4066,4.03844
1,1,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,36.834,2767.0,1199.0,6.07282,2.63148
1,1,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,393.193,1680.0,103.0,70.6923,4.33411
1,1,share/roibin_sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,389.712,1678.0,108.0,67.4196,4.33928
1,1,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,70.158,1670.0,81.0,89.8927,4.36007
1,1,share/sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,7825.4,1904.0,309.0,23.5641,3.82422
1,1,share/sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4594.0,1795.0,201.0,36.2254,4.05644
1,1,share/zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,22.8835,1769.0,190.0,38.3227,4.11606
1,2,share/blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19194,2847.0,1270.0,5.73332,2.55754
1,2,share/blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19377,8415.0,6813.0,1.06874,0.865278
1,2,share/blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.16088,1879.0,299.0,24.3522,3.8751
1,2,share/bzip2-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08265,5462.0,3865.0,1.88391,1.33309
1,2,share/bzip2-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08233,5782.0,4226.0,1.72298,1.25931
1,2,share/mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,11.7867,7600.0,6021.0,1.20932,0.958067
1,2,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.79823,1928.0,335.0,21.7353,3.77661
1,2,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.82409,3361.0,1765.0,4.12539,2.16641
1,2,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.7158,1697.0,102.0,71.3854,4.2907
1,2,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.28216,2611.0,1049.0,6.94119,2.78871
1,2,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.29903,2689.0,1111.0,6.55384,2.70781
1,2,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.44763,1785.0,199.0,36.5895,4.07917
1,2,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,36.834,2774.0,1189.0,6.1239,2.62484
1,2,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,393.193,1690.0,103.0,70.6923,4.30847
1,2,share/roibin_sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,389.712,1683.0,109.0,66.801,4.32639
1,2,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,70.158,1671.0,81.0,89.8927,4.35746
1,2,share/sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,7825.4,1878.0,309.0,23.5641,3.87716
1,2,share/sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4594.0,1784.0,201.0,36.2254,4.08145
1,2,share/zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,22.8835,1761.0,190.0,38.3227,4.13476
1,3,share/blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19194,2835.0,1281.0,5.68408,2.56836
1,3,share/blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19377,8404.0,6816.0,1.06827,0.86641
1,3,share/blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.16088,1922.0,298.0,24.4339,3.7884
1,3,share/bzip2-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08265,5724.0,3933.0,1.85134,1.27207
1,3,share/bzip2-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08233,5829.0,4233.0,1.72013,1.24915
1,3,share/mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,11.7867,7621.0,6024.0,1.20872,0.955427
1,3,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.79823,2359.0,338.0,21.5423,3.08661
1,3,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.82409,3353.0,1765.0,4.12539,2.17158
1,3,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.7158,1691.0,102.0,71.3854,4.30592
1,3,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.28216,2627.0,1040.0,7.00126,2.77172
1,3,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.29903,2718.0,1111.0,6.55384,2.67892
1,3,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.44763,1792.0,200.0,36.4066,4.06323
1,3,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,36.834,2765.0,1193.0,6.10336,2.63339
1,3,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,393.193,1674.0,103.0,70.6923,4.34965
1,3,share/roibin_sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,389.712,1694.0,109.0,66.801,4.2983
1,3,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,70.158,1663.0,80.0,91.0164,4.37842
1,3,share/sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,7825.4,1903.0,310.0,23.4881,3.82623
1,3,share/sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4594.0,1776.0,202.0,36.0461,4.09984
1,3,share/zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,22.8835,1777.0,191.0,38.1221,4.09753
8,1,share/blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19194,5922.0,4798.0,1.51757,1.22954
8,1,share/blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19377,26240.0,25115.0,0.289919,0.277489
8,1,share/blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.16088,2330.0,1177.0,6.18633,3.12503
8,1,share/bzip2-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08198,16368.0,15235.0,0.477933,0.44485
8,1,share/bzip2-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08366,17812.0,16682.0,0.436477,0.408787
8,1,share/mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,11.4861,24615.0,23432.0,0.310742,0.295808
8,1,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.79909,2389.0,1239.0,5.87676,3.04785
8,1,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.82443,7639.0,6523.0,1.11625,0.953176
8,1,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.71621,1519.0,390.0,18.67,4.79349
8,1,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.28248,5149.0,4026.0,1.80857,1.41412
8,1,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.28943,5550.0,4409.0,1.65147,1.31195
8,1,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.38113,1902.0,759.0,9.5933,3.82824
8,1,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,33.5955,6979.0,5840.0,1.2468,1.04332
8,1,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,397.03,2844.0,1686.0,4.31869,2.56024
8,1,share/roibin_sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,395.502,1457.0,323.0,22.5428,4.99747
8,1,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,42.9136,1435.0,302.0,24.1103,5.07408
8,1,share/sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,11819.6,8145.0,6996.0,1.04078,0.893961
8,1,share/sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4428.99,1939.0,816.0,8.92318,3.75519
8,1,share/zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,13.2567,1954.0,797.0,9.1359,3.72636
8,2,share/blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19194,5908.0,4780.0,1.52329,1.23245
8,2,share/blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19377,26248.0,25124.0,0.289815,0.277404
8,2,share/blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.16088,2285.0,1168.0,6.234,3.18657
8,2,share/bzip2-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08198,16363.0,15238.0,0.477839,0.444986
8,2,share/bzip2-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08366,17875.0,16735.0,0.435095,0.407346
8,2,share/mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,11.4861,24728.0,23568.0,0.308949,0.294456
8,2,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.79909,2429.0,1268.0,5.74236,2.99766
8,2,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.82443,7652.0,6518.0,1.11711,0.951557
8,2,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.71621,1549.0,390.0,18.67,4.70065
8,2,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.28248,5203.0,4058.0,1.79431,1.39944
8,2,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.28943,5512.0,4406.0,1.65259,1.32099
8,2,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.38113,1941.0,755.0,9.64412,3.75132
8,2,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,33.5955,6988.0,5846.0,1.24552,1.04197
8,2,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,397.03,2824.0,1683.0,4.32639,2.57837
8,2,share/roibin_sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,395.502,1455.0,323.0,22.5428,5.00434
8,2,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,42.9136,1415.0,303.0,24.0307,5.1458
8,2,share/sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,11819.6,8124.0,7003.0,1.03974,0.896272
8,2,share/sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4428.99,1944.0,814.0,8.9451,3.74553
8,2,share/zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,13.2567,1910.0,798.0,9.12445,3.81221
8,3,share/blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19194,5900.0,4765.0,1.52808,1.23412
8,3,share/blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.19377,26237.0,25110.0,0.289977,0.277521
8,3,share/blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.16088,2309.0,1170.0,6.22334,3.15345
8,3,share/bzip2-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08198,16394.0,15284.0,0.476401,0.444145
8,3,share/bzip2-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,1.08366,17955.0,16752.0,0.434653,0.405531
8,3,share/mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,11.4861,24595.0,23464.0,0.310318,0.296048
8,3,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.79909,2379.0,1248.0,5.83438,3.06066
8,3,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.82443,7652.0,6513.0,1.11797,0.951557
8,3,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.71621,1533.0,390.0,18.67,4.74971
8,3,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.28248,5171.0,4023.0,1.80992,1.40811
8,3,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.28943,5516.0,4381.0,1.66202,1.32003
8,3,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4.38113,1911.0,756.0,9.63136,3.81021
8,3,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,33.5955,7114.0,5909.0,1.23224,1.02352
8,3,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,397.03,2799.0,1682.0,4.32896,2.6014
8,3,share/roibin_sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,395.502,1449.0,322.0,22.6128,5.02506
8,3,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,42.9136,1432.0,303.0,24.0307,5.08471
8,3,share/sz3.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,11819.6,8110.0,6991.0,1.04153,0.897819
