chunk_size,replicat,config,filename,decompress_bandwidth_GBps,global_cr,wallclock_ms,compress_ms,compress_bandwidth_GBps,wallclock_bandwidth_GBps
8,3,share/sz.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,4428.99,1932.0,814.0,8.9451,3.76879
8,3,share/zfp.json,/scratch1/robertu/chuck/cxic00318_0123_0.cxi,,13.2567,1915.0,796.0,9.14738,3.80225
1,1,share/blosc-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.26039,68671.0,20532.0,6.67474,1.99569
1,1,share/blosc-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.27128,149586.0,124377.0,1.10186,0.916167
1,1,share/blosc.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.22282,19854.0,5346.0,25.6352,6.90268
1,1,share/bzip2-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.19798,77744.0,62799.0,2.18229,1.76278
1,1,share/bzip2-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.20514,87260.0,68295.0,2.00667,1.57055
1,1,share/mgard.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,2.87608,92626.0,72502.0,1.89024,1.47956
1,1,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.98786,20105.0,5516.0,24.8451,6.8165
1,1,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,5.02423,46346.0,32102.0,4.26907,2.95702
1,1,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.91208,16599.0,1793.0,76.4338,8.25627
1,1,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.39967,34530.0,19831.0,6.91069,3.96889
1,1,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.37541,35294.0,20611.0,6.64916,3.88298
1,1,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.902,18580.0,3825.0,35.829,7.37599
1,1,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,15.4072,34267.0,19323.0,7.09237,3.99935
1,1,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,78.2105,16970.0,2257.0,60.7203,8.07577
1,1,share/roibin_sz.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,92.8899,17310.0,2723.0,50.329,7.91715
1,1,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,21.0443,17191.0,2072.0,66.1418,7.97195
1,1,share/sz3.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,7.62698,19851.0,5075.0,27.0041,6.90372
1,1,share/sz.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,8.04259,19298.0,4560.0,30.0539,7.10156
1,1,share/zfp.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,3.61352,19960.0,5180.0,26.4567,6.86602
1,2,share/blosc-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.26039,35140.0,20504.0,6.68386,3.89999
1,2,share/blosc-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.27128,139967.0,124602.0,1.09987,0.97913
1,2,share/blosc.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.22282,25090.0,5348.0,25.6256,5.46217
1,2,share/bzip2-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.19798,77406.0,62811.0,2.18188,1.77048
1,2,share/bzip2-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.20514,82915.0,68486.0,2.00108,1.65285
1,2,share/mgard.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,2.87608,87115.0,72417.0,1.89245,1.57316
1,2,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.98786,25758.0,5546.0,24.7108,5.32051
1,2,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,5.02423,46879.0,32159.0,4.26151,2.92339
1,2,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.91208,16588.0,1801.0,76.0943,8.26174
1,2,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.39967,34404.0,19801.0,6.92116,3.98343
1,2,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.37541,35203.0,20640.0,6.63982,3.89302
1,2,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.902,18590.0,3827.0,35.8102,7.37202
1,2,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,15.4072,34352.0,19340.0,7.08613,3.98946
1,2,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,78.2105,16924.0,2274.0,60.2664,8.09772
1,2,share/roibin_sz.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,92.8899,17234.0,2703.0,50.7014,7.95206
1,2,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,21.0443,16937.0,2066.0,66.3339,8.09151
1,2,share/sz3.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,7.62698,26078.0,5071.0,27.0254,5.25523
1,2,share/sz.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,8.04259,19837.0,4650.0,29.4722,6.9086
1,2,share/zfp.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,3.61352,19977.0,5228.0,26.2138,6.86018
1,3,share/blosc-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.26039,35248.0,20503.0,6.68418,3.88805
1,3,share/blosc-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.27128,142758.0,123951.0,1.10565,0.959987
1,3,share/blosc.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.22282,19952.0,5333.0,25.6977,6.86878
1,3,share/bzip2-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.19798,77402.0,62613.0,2.18878,1.77057
1,3,share/bzip2-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.20514,82839.0,68335.0,2.0055,1.65436
1,3,share/mgard.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,2.87608,87052.0,72454.0,1.89149,1.5743
1,3,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.98786,20199.0,5508.0,24.8812,6.78478
1,3,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,5.02423,46773.0,32574.0,4.20722,2.93002
1,3,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.91208,16499.0,1795.0,76.3486,8.30631
1,3,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.39967,35676.0,20449.0,6.70183,3.8414
1,3,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.37541,35122.0,20629.0,6.64336,3.90199
1,3,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.902,18493.0,3833.0,35.7542,7.41069
1,3,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,15.4072,34280.0,19341.0,7.08577,3.99784
1,3,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,78.2105,17586.0,2281.0,60.0815,7.79289
1,3,share/roibin_sz.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,92.8899,17343.0,2708.0,50.6078,7.90208
1,3,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,21.0443,16839.0,2064.0,66.3982,8.1386
1,3,share/sz3.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,7.62698,20236.0,5068.0,27.0414,6.77238
1,3,share/sz.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,8.04259,19355.0,4542.0,30.173,7.08064
1,3,share/zfp.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,3.61352,19907.0,5175.0,26.4823,6.8843
8,1,share/blosc-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.2606,28887.0,19197.0,7.13892,4.7442
8,1,share/blosc-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.27136,135801.0,126268.0,1.08536,1.00917
8,1,share/blosc.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.22286,14542.0,4863.0,28.1813,9.42414
8,1,share/bzip2-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.19933,72486.0,62769.0,2.18334,1.89065
8,1,share/bzip2-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.20376,78208.0,68713.0,1.99447,1.75232
8,1,share/mgard.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,3.00076,85270.0,75475.0,1.81578,1.6072
8,1,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.98608,14570.0,4986.0,27.4861,9.40603
8,1,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,5.02357,41420.0,31876.0,4.29934,3.30869
8,1,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.91235,11262.0,1535.0,89.2807,12.1689
8,1,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.38438,27903.0,18322.0,7.47985,4.91151
8,1,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.3678,28977.0,19483.0,7.03412,4.72947
8,1,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.76123,13137.0,3371.0,40.6544,10.432
8,1,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,15.0743,28040.0,18382.0,7.45544,4.88751
8,1,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,76.0743,12249.0,2520.0,54.3833,11.1883
8,1,share/roibin_sz.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,85.1259,11492.0,1870.0,73.2865,11.9253
8,1,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,18.6593,11484.0,1649.0,83.1084,11.9336
8,1,share/sz3.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,8.44082,18011.0,8337.0,16.4383,7.60901
8,1,share/sz.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,7.8485,14870.0,5157.0,26.5747,9.21626
8,1,share/zfp.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,3.6249,14488.0,4802.0,28.5393,9.45926
8,2,share/blosc-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.2606,28816.0,19153.0,7.15532,4.75589
8,2,share/blosc-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.27136,135923.0,126416.0,1.08409,1.00826
8,2,share/blosc.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.22286,14707.0,4851.0,28.251,9.31841
8,2,share/bzip2-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.19933,73440.0,63123.0,2.17109,1.86609
8,2,share/bzip2-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.20376,78339.0,68852.0,1.99044,1.74939
8,2,share/mgard.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,3.00076,90347.0,75480.0,1.81566,1.51688
8,2,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.98608,14640.0,4982.0,27.5082,9.36105
8,2,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,5.02357,43936.0,30640.0,4.47277,3.11921
8,2,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.91235,11303.0,1532.0,89.4555,12.1247
8,2,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.38438,28614.0,18113.0,7.56616,4.78947
8,2,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.3678,29228.0,19625.0,6.98323,4.68885
8,2,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.76123,13067.0,3351.0,40.897,10.4879
8,2,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,15.0743,27943.0,18367.0,7.46152,4.90448
8,2,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,76.0743,12176.0,2517.0,54.4481,11.2554
8,2,share/roibin_sz.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,85.1259,11499.0,1869.0,73.3257,11.9181
8,2,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,18.6593,11361.0,1658.0,82.6573,12.0628
8,2,share/sz3.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,8.44082,17907.0,8314.0,16.4837,7.6532
8,2,share/sz.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,7.8485,14799.0,5159.0,26.5644,9.26048
8,2,share/zfp.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,3.6249,14468.0,4810.0,28.4919,9.47234
8,3,share/blosc-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.2606,28838.0,19167.0,7.15009,4.75227
8,3,share/blosc-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.27136,136367.0,126468.0,1.08364,1.00498
8,3,share/blosc.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.22286,14599.0,4854.0,28.2336,9.38734
8,3,share/bzip2-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.19933,77128.0,64889.0,2.112,1.77686
8,3,share/bzip2-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,1.20376,79305.0,69033.0,1.98522,1.72809
8,3,share/mgard.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,3.00076,85077.0,75449.0,1.8164,1.61084
8,3,share/roibin_blosc-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.98608,14508.0,4962.0,27.6191,9.44622
8,3,share/roibin_blosc-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,5.02357,41708.0,32201.0,4.25595,3.28584
8,3,share/roibin_blosc.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.91235,11331.0,1527.0,89.7484,12.0948
8,3,share/roibin_bzip-6.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.38438,27827.0,18211.0,7.52544,4.92492
8,3,share/roibin_bzip-9.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.3678,29188.0,19574.0,7.00142,4.69528
8,3,share/roibin_fpzip.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,4.76123,13151.0,3355.0,40.8482,10.4209
8,3,share/roibin_mgard.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,15.0743,27925.0,18383.0,7.45503,4.90764
8,3,share/roibin_sz3.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,76.0743,12213.0,2551.0,53.7224,11.2213
8,3,share/roibin_sz.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,85.1259,11513.0,1870.0,73.2865,11.9036
8,3,share/roibin_zfp.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,18.6593,11421.0,1649.0,83.1084,11.9995
8,3,share/sz3.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,8.44082,18234.0,8419.0,16.2782,7.51595
8,3,share/sz.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,7.8485,14814.0,5166.0,26.5284,9.2511
8,3,share/zfp.json,/scratch1/robertu/chuck/cxic0415_0101.cxi,,,,,,
